bpm,trend_cap_pct
-9.2,0.03096152910523116
-9.1,0.03096152910523116
-9.0,0.03096152910523116
-8.9,0.03096152910523116
-8.8,0.03096152910523116
-8.7,0.03096152910523116
-8.6,0.03096152910523116
-8.5,0.03096152910523116
-8.4,0.03096152910523116
-8.3,0.03096152910523116
-8.2,0.03096152910523116
-8.1,0.03096152910523116
-8.0,0.03096152910523116
-7.9,0.03096152910523116
-7.8,0.03096152910523116
-7.7,0.03096152910523116
-7.6,0.030961529105235294
-7.5,0.03406611363017688
-7.4,0.03406611363017688
-7.3,0.03406611363017688
-7.2,0.03406611363017688
-7.1,0.03406611363017688
-7.0,0.03406611363017688
-6.9,0.03406611363017688
-6.8,0.03406611363017971
-6.7,0.036021642989750476
-6.6,0.036021642989750476
-6.5,0.036021642989750476
-6.4,0.036021642989750476
-6.3,0.036021642989750476
-6.2,0.03602164298975286
-6.1,0.03757362701863221
-6.0,0.03757362701863221
-5.9,0.03757362701863221
-5.8,0.03757362701863221
-5.7,0.03757362701863221
-5.6,0.03757362701863221
-5.5,0.03757362701863221
-5.4,0.03757362701863221
-5.3,0.03757362701863221
-5.2,0.03757362701863221
-5.1,0.03757362701863221
-5.0,0.03757362701863695
-4.9,0.04035110718097414
-4.8,0.04035110718097414
-4.7,0.04035110718097414
-4.6,0.04035110718097414
-4.5,0.04035110718098244
-4.4,0.045021732866146184
-4.3,0.04502173286614856
-4.2,0.04633672755884627
-4.1,0.04633672755884627
-4.0,0.04633672755884627
-3.9,0.04633672755884627
-3.8,0.04633672755884627
-3.7,0.04633672755884627
-3.6,0.04633672755884627
-3.5,0.04633672755884627
-3.4,0.04633672755884627
-3.3,0.04633672755884627
-3.2,0.04633672755884627
-3.1,0.04633672755884741
-3.0,0.04691139968639781
-2.9,0.046911399686398576
-2.8,0.047293263662902235
-2.7,0.047293263662902235
-2.6,0.04729326366291373
-2.5,0.052909764546525254
-2.4,0.052909764546525254
-2.3,0.052909764546525254
-2.2,0.05290976454653616
-2.1,0.05809322605460725
-2.0,0.05809322605460725
-1.9,0.05809322605460725
-1.8,0.05809322605460725
-1.7,0.05809322605460889
-1.6,0.05885109436041027
-1.5,0.06314111383714442
-1.4,0.06314111383714442
-1.3,0.06314111383714978
-1.2,0.06554163808081181
-1.1,0.06554163808081181
-1.0,0.06554163808081806
-0.9,0.06828824188617037
-0.8,0.06828824188617037
-0.7,0.0682882418861762
-0.6,0.07080510273500316
-0.5,0.07488149904936998
-0.4,0.08045176354320765
-0.3,0.08045176354320765
-0.2,0.08045176354321339
-0.1,0.08285092237476044
0.0,0.08285092237476044
0.1,0.0828509223747724
0.2,0.08777134674710484
0.3,0.08777134674710484
0.4,0.08777134674710484
0.5,0.08777134674710484
0.6,0.08777134674713244
0.7,0.09880537593875882
0.8,0.09880537593875882
0.9,0.09880537593875882
1.0,0.09880537593876554
1.1,0.1014337404620819
1.2,0.1014337404620819
1.3,0.1014337404620819
1.4,0.10143374046208364
1.5,0.10210453524760732
1.6,0.12902047532604127
1.7,0.12902047532604127
1.8,0.12902047532604127
1.9,0.12902047532604127
2.0,0.12902047532604127
2.1,0.12902047532604655
2.2,0.13096896833428165
2.3,0.13096896833428165
2.4,0.13096896833428165
2.5,0.130968968334291
2.6,0.13434338877576232
2.7,0.13434338877576232
2.8,0.1343433887757798
2.9,0.1405563330697835
3.0,0.15363855461997794
3.1,0.1536385546199991
